"","Q 1","Q 2","Q 3","Q 4","Q 5","Q 6","Q 7","Q 8","Q 9"
"67",4.213,4.067,3.573,3.48,3.493,3.093,3.693,3.48,4.267
"68",3.714,3.857,2.857,3.714,3,3.143,2.714,3.286,4
"69",4.419,4.161,3.516,3.032,2.968,2.839,3.806,4,4.194
"70",4.533,4.533,3.667,2.733,2.067,2,3.733,3.933,4.533
"71",3,3.263,3.211,2.579,2.684,2.632,3.474,3.632,3.895
"72",3.267,3.333,3.333,2.8,2.8,2.467,3.333,3.467,3.6
"73",2.879,3.242,3.424,2.364,2.394,2.242,3.545,3.333,3.606
"74",3.088,3.351,3.456,2.439,2.544,2.298,3.737,3.474,3.439
"75",4.936,4.787,3.553,2.468,2.468,2.128,2.894,3.021,4.787
"76",4,4,3.571,3.429,3.429,3.714,2,3.143,4.286
"77",4.14,4.103,3.118,2.757,3.074,2.522,3.11,3.36,4.184
"78",4.155,3.94,3.536,2.464,2.488,3.012,3.69,3.667,4.298
"79",4.156,3.875,3.906,2.375,2.031,3.188,3.875,3.875,4.469
"80",4.538,4.436,3.795,3.41,3.205,2.59,3.308,3.385,4.667
"81",5,5,4.75,3.5,2.5,2.833,4.25,4.333,5
"82",4.2,4.244,3.911,3.267,2.867,2.867,3.733,3.311,4.422
"83",4.311,4.149,2.554,3.608,3.432,3.541,3.973,3.365,4.081
"84",3.324,3.431,3.255,2.539,2.255,2.118,3.069,2.941,3.235
"85",4.047,4.078,3.922,3.578,3.141,3.047,3.313,3.688,4.125
"86",4.556,4.444,4,2.556,3,2.222,4,4.111,4.444
"87",3.591,3.705,3.159,2.091,2.409,2.182,2.75,3.364,3.727
"88",5,5,4.769,3.462,2.308,2.692,4.385,4,5
"89",3.875,4.125,4.125,3.5,3.25,4,2.5,2.5,3.625
"90",3.971,3.882,3.735,2.765,2.824,2.941,3.824,3.676,4.088
"91",4.143,4.117,3.247,2.273,2.818,2.351,3.727,3.831,4.143
"92",4.471,4.353,3.647,2.353,2.412,2.137,3.725,3.882,4.51
"93",4.444,4.533,4.378,3.156,2.933,3.044,4.022,4.178,4.578
"94",4.667,4.533,4.267,2.2,1.867,2.2,4.533,4.333,4.733
"95",4,3.869,3.574,2.311,2.361,2.213,3.295,3.393,4.148
"96",3.773,3.697,3.242,3.015,2.833,2.939,3.242,3.045,4
"97",3.5,3.389,3.278,3.056,3.139,2.667,3.25,3.528,3.972
"98",3.154,3.385,3.615,3,2.462,2.846,2.692,2.231,4.308
"99",3.95,4.7,3.75,2.85,2.85,2.35,3.9,3.45,4.45
"100",4,3.833,3.5,3,3.5,3.5,2.333,3,4.167
"101",4.929,4.429,4.214,2.357,2.25,2.071,4.071,4.071,4.5
"102",2.778,3.167,3.167,4.222,4.056,3.333,3.222,3.167,3.444
"103",3.585,3.463,3.073,2.22,2.366,2.341,2.244,2.512,3.951
"104",3.269,3.327,3.192,2.827,2.538,2.462,2.942,3.25,3.538
"105",3.909,3.909,3,3.182,3.182,2.636,3.273,3.636,3.818
"106",4.125,3.938,3.5,3.656,2.969,2.781,3.656,3.438,4.25
"107",4.158,4.07,3.807,2.404,2.561,1.667,3.474,3.842,4.018
"108",4,3.941,2.672,2.605,3.227,2.546,2.218,3.37,4.076
"109",3.5,3.313,3.25,2.625,2.313,2.188,2.438,2.625,3.375
"110",3.281,3.438,3.344,3.375,3.063,2.719,2.938,2.875,3.656
"111",2.083,2.889,2.778,2.139,2.333,2.139,1.917,3,3.083
"112",3.556,3.778,3.333,3.444,3.333,3,3.111,2.889,3.667
"113",3.871,3.839,2.677,3,3.065,2.935,2.903,3.032,4.032
"114",3.591,3.576,2.924,3.333,3.091,2.864,2.939,2.924,3.864
"115",3.194,3.419,3.29,3.387,3,2.677,2.935,2.935,3.452
"116",2.158,3.026,2.711,2.079,2.237,2.237,2.026,2.868,2.947
"117",3.744,3.667,3.564,3.692,3.179,3.385,2.769,3,3.41
"118",4.667,4.5,2.5,2.167,2.833,2,3.167,3.167,4.667
